axis,subset,kind,method_x,method_y,n,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,P_bigfam_gt
dist_cum,>=0.00,both,falconer,snp_h2,340,0.6014507752573177,0.44072142851762397,0.7956465208421839,0.786295224244187,0.7142046213970693,0.8490956991983664,0.966
dist_cum,>=0.00,both,herg,snp_h2,340,0.5556635107198522,0.39634531715275384,0.7488375157699846,0.7566489639815853,0.6840880397855889,0.8215962344328807,0.9909
dist_cum,>=0.00,both,sem_step,snp_h2,340,0.2923872675049027,0.1368289707018532,0.537893631016666,0.6307076580842712,0.5432493889923561,0.7147004942842167,1.0
dist_cum,>=0.00,both,sem_const,snp_h2,340,0.771722501655397,0.6745648040279102,0.8502722887883241,0.795259736998502,0.7357582934926529,0.8480869343982418,0.589
dist_cum,>=0.00,both,ldak_step,snp_h2,340,0.5962067535833103,0.49141263285360737,0.6993474706626447,0.6452059920069728,0.555423006285298,0.7280480767812187,1.0
dist_cum,>=0.00,both,ldak_const,snp_h2,340,0.7401392719475218,0.6473518787400838,0.8243990852984481,0.7753480503118227,0.7051856068029126,0.8383694661994464,0.8409
dist_cum,>=0.00,both,bigfam,snp_h2,340,0.7872915321055953,0.7422891375827196,0.828151222922667,0.7245905881211449,0.6666950513827117,0.7765961497862982,
dist_cum,>=0.00,both,bigfam_v1,snp_h2,255,0.5667146221206782,0.4501438324436987,0.6731047084330818,0.5855459377378079,0.4979167943526527,0.683541435530434,1.0
dist_cum,>=0.00,continuous,falconer,snp_h2,255,0.601289078211123,0.41001859614085817,0.830201275284185,0.814017856949218,0.7292866429237305,0.8880551036967145,0.9453
dist_cum,>=0.00,continuous,herg,snp_h2,255,0.5593670723022752,0.3683572035057796,0.7986335575379274,0.7906592249446439,0.7050758727419155,0.867093832371583,0.9757
dist_cum,>=0.00,continuous,sem_step,snp_h2,255,0.32234998198377784,0.1324868489397491,0.6491647584557332,0.7504894124085832,0.6548980948880584,0.8358916608194339,0.9896
dist_cum,>=0.00,continuous,sem_const,snp_h2,255,0.8484297610873893,0.7876594848664917,0.8999278830220537,0.8519951742672264,0.7945920458810437,0.9003476475398006,0.0674
