design	axis	t	n	bias_bigfam	r_bigfam	rmse_bigfam	r_AE	rmse_AE	r_const	rmse_const	r_step	rmse_step	r_falconer	rmse_falconer	r_he	rmse_he	r_sem_AE	rmse_sem_AE	r_sem_step	rmse_sem_step	r_sem_const	rmse_sem_const
grid	est	0.0000	4000	-0.0232	0.6581	0.1543	0.4305	0.3332	0.4322	0.3247	0.3385	0.4067	0.4305	0.3332	0.4311	0.3331	0.4398	0.3272	0.3472	0.3987	0.4286	0.3271
grid	est	0.0500	3276	-0.0157	0.6625	0.1528	0.3935	0.3639	0.3926	0.3545	0.3003	0.4456	0.3935	0.3639	0.3940	0.3638	0.4029	0.3573	0.3089	0.4368	0.3888	0.3572
grid	est	0.1000	2826	-0.0119	0.6479	0.1547	0.3699	0.3874	0.3664	0.3771	0.2759	0.4761	0.3699	0.3874	0.3704	0.3873	0.3795	0.3802	0.2844	0.4665	0.3625	0.3801
grid	est	0.1500	2379	-0.0125	0.6607	0.1483	0.3597	0.4020	0.3506	0.3920	0.2588	0.4992	0.3597	0.4020	0.3605	0.4018	0.3701	0.3941	0.2675	0.4884	0.3467	0.3955
grid	est	0.2000	1730	-0.0144	0.6764	0.1365	0.3588	0.4204	0.3387	0.4045	0.2424	0.5400	0.3588	0.4204	0.3593	0.4202	0.3707	0.4104	0.2516	0.5267	0.3339	0.4089
grid	est	0.2500	1092	-0.0140	0.6974	0.1303	0.3787	0.4664	0.3290	0.4483	0.2477	0.6145	0.3787	0.4664	0.3799	0.4658	0.3919	0.4536	0.2574	0.5971	0.3239	0.4543
grid	est	0.3000	617	-0.0204	0.7900	0.1071	0.3635	0.5200	0.3145	0.5036	0.2060	0.7027	0.3635	0.5200	0.3655	0.5185	0.3821	0.5034	0.2168	0.6793	0.3097	0.5117
grid	true	0.0000	4000	-0.0232	0.6581	0.1543	0.4305	0.3332	0.4322	0.3247	0.3385	0.4067	0.4305	0.3332	0.4311	0.3331	0.4398	0.3272	0.3472	0.3987	0.4286	0.3271
grid	true	0.0500	3551	-0.0367	0.7397	0.1302	0.4339	0.3321	0.4363	0.3226	0.3335	0.4138	0.4339	0.3321	0.4346	0.3320	0.4444	0.3255	0.3428	0.4050	0.4321	0.3254
grid	true	0.1000	3134	-0.0477	0.7978	0.1171	0.4349	0.3334	0.4401	0.3214	0.3252	0.4246	0.4349	0.3334	0.4354	0.3333	0.4470	0.3257	0.3351	0.4149	0.4356	0.3245
grid	true	0.1500	2707	-0.0558	0.8221	0.1125	0.4370	0.3324	0.4386	0.3215	0.3185	0.4318	0.4370	0.3324	0.4381	0.3322	0.4503	0.3241	0.3291	0.4210	0.4335	0.3251
grid	true	0.2000	2310	-0.0636	0.8458	0.1101	0.4328	0.3328	0.4336	0.3223	0.3070	0.4410	0.4328	0.3328	0.4345	0.3322	0.4471	0.3238	0.3182	0.4290	0.4280	0.3264
grid	true	0.2500	1879	-0.0702	0.8666	0.1097	0.4207	0.3367	0.4210	0.3269	0.2887	0.4552	0.4207	0.3367	0.4228	0.3358	0.4364	0.3268	0.3006	0.4418	0.4145	0.3316
grid	true	0.3000	1467	-0.0756	0.8842	0.1091	0.4165	0.3432	0.4188	0.3318	0.2758	0.4747	0.4165	0.3432	0.4194	0.3418	0.4336	0.3320	0.2879	0.4597	0.4120	0.3369
null	est	0.0000	2000	0.0739	0.4269	0.2602	0.4668	0.3125	0.4640	0.3148	0.4630	0.3141	0.4668	0.3125	0.4662	0.3126	0.4664	0.3127	0.4636	0.3140	0.4630	0.3151
null	est	0.0500	1283	0.0798	0.4275	0.2585	0.4454	0.3170	0.4416	0.3205	0.4402	0.3167	0.4454	0.3170	0.4446	0.3169	0.4450	0.3171	0.4406	0.3167	0.4409	0.3207
null	est	0.1000	878	0.0714	0.4389	0.2477	0.4541	0.3052	0.4494	0.3093	0.4462	0.3046	0.4541	0.3052	0.4540	0.3050	0.4542	0.3052	0.4466	0.3047	0.4496	0.3091
null	est	0.1500	529	0.0649	0.4499	0.2383	0.4687	0.2942	0.4617	0.3008	0.4576	0.2903	0.4687	0.2942	0.4685	0.2940	0.4691	0.2943	0.4573	0.2907	0.4628	0.3006
null	est	0.2000	254	0.0467	0.5275	0.2182	0.5473	0.2694	0.5334	0.2789	0.5354	0.2614	0.5473	0.2694	0.5472	0.2695	0.5476	0.2698	0.5349	0.2617	0.5345	0.2797
null	est	0.2500	75	0.0389	0.5454	0.1926	0.5779	0.2349	0.5715	0.2559	0.5640	0.2113	0.5779	0.2349	0.5801	0.2337	0.5790	0.2352	0.5630	0.2124	0.5743	0.2554
null	true	0.0000	2000	0.0739	0.4269	0.2602	0.4668	0.3125	0.4640	0.3148	0.4630	0.3141	0.4668	0.3125	0.4662	0.3126	0.4664	0.3127	0.4636	0.3140	0.4630	0.3151
